,Region,District,FacilityName,Type,Town,Ownership,Latitude,Longitude,Country
160,Greater Accra,Ga West,God Cares Clinic & Maternity,Clinic,Asabaham (near Domiabra),Private,5.60629,-0.41625,Ghana
161,Greater Accra,Dangme west,Godia Clinic,Clinic,New Dawhenya,Private,5.75451,-0.04701,Ghana
162,Greater Accra,Accra Metropolitan,Golden Sourveinier Clinic,Clinic,Tesano,Private,5.59525,-0.23342,Ghana
163,Greater Accra,Accra Metropolitan,Goodwill Maternity Home,Maternity Home,Asylum Down,Private,5.56844,-0.20448,Ghana
164,Greater Accra,Tema Metropolitan,GPHA Main Clinic,Clinic,Tema Community 2,Private,5.63276,-0.00654,Ghana
165,Greater Accra,Tema Metropolitan,Grace & Peace Clinic & Maternity Home,Maternity Home,Ashalebotwe,Private,5.68191,-0.14157,Ghana
166,Greater Accra,Accra Metropolitan,Grace Baah Memorial Clinic,Clinic,Russia,Private,5.55228,-0.25181,Ghana
167,Greater Accra,Dangme west,Grace Maternity Home,Maternity Home,Dodowa,Private,5.87929,-0.10627,Ghana
168,Greater Accra,Accra Metropolitan,Grace Maternity Home & Clinic,Maternity Home,Awoshie (last stop),Private,5.58553,-0.27977,Ghana
169,Greater Accra,Accra Metropolitan,Grasam Clinic,Clinic,Mempeasem,Private,5.65097,-0.15879,Ghana
170,Greater Accra,Ga East,Greater Grace Hospital,Hospital,Pantang hosp road,Private,5.71866,-0.17425,Ghana
171,Greater Accra,Accra Metropolitan,Green Hand Clinic,Clinic,North Kaneshie,Private,5.58284,-0.22884,Ghana
172,Greater Accra,Tema Metropolitan,GTP Clinic,Clinic,Tema Heavy Industrial Town,Private,5.66264,-0.00345,Ghana
173,Greater Accra,Accra Metropolitan,Hajj Abdulai Yaro's Memorial Clinic,Hospital,Nima,Private,5.58254,-0.19682,Ghana
174,Greater Accra,Accra Metropolitan,Hams Clinic,Clinic,Mataheko,Private,5.55984,-0.24297,Ghana
175,Greater Accra,Accra Metropolitan,Hannah Larbie's Maternity Home,Maternity Home,Chorkor (near Abodwe),Private,5.52961,-0.24151,Ghana
176,Greater Accra,Ga East,Harmony Clinic,Hospital,Madina,Private,5.67152,-0.17373,Ghana
177,Greater Accra,Tema Metropolitan,Health Loop Clinic,Clinic,Adenta Estate,Private,5.70134,-0.14823,Ghana
178,Greater Accra,Accra Metropolitan,Hebron Maternity & Clinic,Maternity Home,La,Private,5.5639,-0.15154,Ghana
179,Greater Accra,Accra Metropolitan,Henrietta Clinic & Maternity Home,Maternity Home,Lartebiokorshie (near Nkruma flats),Private,5.5501,-0.232,Ghana
180,Greater Accra,Accra Metropolitan,Highway Dental Clinic,Clinic,Maamobi (near market),Private,5.59481,-0.19421,Ghana
181,Greater Accra,Accra Metropolitan,Hobats Clinic,Clinic,Tesano,Private,5.60699,-0.2317,Ghana
182,Greater Accra,Accra Metropolitan,Holy Cross Clinic & Maternity Home,Clinic,Lartebiokoshie,Private,5.55001,-0.24449,Ghana
183,Greater Accra,Accra Metropolitan,Holy Height Clinic,Clinic,Kokomlemle,Private,5.57714,-0.20895,Ghana
184,Greater Accra,Accra Metropolitan,Holy Trinity Medical Centre,Hospital,North Kaneshie,Private,5.5867,-0.23519,Ghana
185,Greater Accra,Accra Metropolitan,International Health Care Centre,Clinic,Roman Ridge (near Ghana inst of engineers buidling),Private,5.60547,-0.19762,Ghana
186,Greater Accra,Accra Metropolitan,Iran Clinic,Hospital,Circle,NGO,5.568,-0.21248,Ghana
187,Greater Accra,Accra Metropolitan,James Camp Borstral Clinic,Clinic,Roman Ridge,Private,5.60807,-0.19085,Ghana
188,Greater Accra,Accra Metropolitan,James Fort Prison's Clinic,Clinic,James Town,Private,5.53423,-0.21111,Ghana
189,Greater Accra,Accra Metropolitan,James Town Maternity Home,Maternity Home,James Town,Private,5.54065,-0.21591,Ghana
190,Greater Accra,Accra Metropolitan,Jesus Saves Clinic,Clinic,Okaishie,Private,5.54896,-0.20779,Ghana
